"ClientID","Cluster","PP_DNS","Prod_DNS","Status"
"AAP","CL12","z182ss-aaprwsppwas01.rfx.zebra.com","z182sp-aaprwsprwas01.rfx.zebra.com","Both"
"AMC","CL26","z182ss-amcrwsppwas01.rfx.zebra.com","","PP Only"
"AZMX","CL26","z182ss-azmxrwsppwas01.rfx.zebra.com","z182sp-azmxrwsprwas01.rfx.zebra.com","Both"
"AZO","CL17","z182ss-azorwsppwas01.rfx.zebra.com","z182sp-azorwsprwas01.rfx.zebra.com","Both"
"BAC","CL24","z182ss-bacrwsppwas01.rfx.zebra.com","z182sp-bacrwsprwas01.rfx.zebra.com","Both"
"BAS","CL25","z182ss-basrwsppwas01.rfx.zebra.com","z182sp-basrwsprwas01.rfx.zebra.com","Both"
"BCF","CL25","z182ss-bcfrwsppwas01.rfx.zebra.com","z182sp-bcfrwsprwas01.rfx.zebra.com","Both"
"BCOP","CL19","z182ss-bcoprwsppwas01.rfx.zebra.com","z182sp-bcoprwsprwas01.rfx.zebra.com","Both"
"BGL","CL17","z182ss-bglrwsppwas01.rfx.zebra.com","z182sp-bglrwsprwas01.rfx.zebra.com","Both"
"BLK","CL12","z182ss-blkrwsppwas01.rfx.zebra.com","z182sp-blkrwsprwas01.rfx.zebra.com","Both"
"BMR","CL52","z182ss-bmrrwsppwas01.rfx.zebra.com","z182sp-bmrrwsprwas01.rfx.zebra.com","Both"
"BNQ","CL52","z182ss-bnqrwsppwas01.rfx.zebra.com","z182sp-bnqrwsprwas01.rfx.zebra.com","Both"
"BOB","CL17","z182ss-bobrwsppwas01.rfx.zebra.com","z182sp-bobrwsprwas01.rfx.zebra.com","Both"
"BPANZ","CL15","z182ss-bpanzrwsppwas01.rfx.zebra.com","z182sp-bpanzrwsprwas01.rfx.zebra.com","Both"
"BPG","CL78","z182ss-bpgrwsppwas01.rfx.zebra.com","z182sp-bpgrwsprwas01.rfx.zebra.com","Both"
"BPUS","CL26","z182ss-bpusrwsppwas01.rfx.zebra.com","z182sp-bpusrwsprwas01.rfx.zebra.com","Both"
"BSI","CL09","z182ss-bsirwsppwas01.rfx.zebra.com","z182sp-bsirwsprwas01.rfx.zebra.com","Both"
"CITI","CL27","z182ss-citirwsppwas01.rfx.zebra.com","z182sp-citirwsprwas01.rfx.zebra.com","Both"
"CNCD","CL25","z182ss-cncdrwsppwas01.rfx.zebra.com","z182sp-cncdrwsprwas01.rfx.zebra.com","Both"
"COP","CL12","z182ss-coprwsppwas01.rfx.zebra.com","z182sp-coprwsprwas01.rfx.zebra.com","Both"
"CUF","CL01","z182ss-cufrwsppwas01.rfx.zebra.com","z182sp-cufrwsprwas01.rfx.zebra.com","Both"
"CVS220","CL220","z182ss-cvs220rwsppwas01.rfx.zebra.com","","PP Only"
"CVSDC","CL20","z182ss-cvsdcrwsppwas01.rfx.zebra.com","z182sp-cvsdcrwsprwas01.rfx.zebra.com","Both"
"CVSH","CL20","z182ss-cvshrwsppwas01.rfx.zebra.com","z182sp-cvshrwsprwas01.rfx.zebra.com","Both"
"CVSPS","CL120","z182ss-cvspsrwsppwas01.rfx.zebra.com","","PP Only"
"DIX","CL52","z182ss-dxnsrwsppwas01.rfx.zebra.com","z182sp-dixrwsprwas01.rfx.zebra.com","Both"
"DJ","CL15","z182ss-djrwsppwas01.rfx.zebra.com","z182sp-djrwsprwas01.rfx.zebra.com","Both"
"DST","CL09","z182ss-dstrwsppwas01.rfx.zebra.com","z182sp-dstrwsprwas01.rfx.zebra.com","Both"
"EGR","CL54","z182ss-egrrwsppwas01.rfx.zebra.com","z182sp-egrrwsprwas01.rfx.zebra.com","Both"
"ELROSA","CL03","z182ss-elrosarwsppwas01.rfx.zebra.com","z182sp-elrosarwsprwas01.rfx.zebra.com","Both"
"EYE","CL23","z182ss-eyerwsppwas01.rfx.zebra.com","z182sp-eyerwsprwas01.rfx.zebra.com","Both"
"FHB","CL27","z182ss-fhbrwsppwas01.rfx.zebra.com","z182sp-fhbrwsprwas01.rfx.zebra.com","Both"
"FNBT","CL27","z182ss-fnbtrwsppwas01.rfx.zebra.com","z182sp-fnbtrwsprwas01.rfx.zebra.com","Both"
"FTFCU","CL27","z182ss-ftfcurwsppwas01.rfx.zebra.com","z182sp-ftfcurwsprwas01.rfx.zebra.com","Both"
"HMROW","CL53","z182ss-hmrowrwsppwas01.rfx.zebra.com","z182sp-hmrowrwsprwas01.rfx.zebra.com","Both"
"HNMG","CL77","z182ss-hmgrwsppwas01.rfx.zebra.com","z182sp-hnmgrwsprwas01.rfx.zebra.com","Both"
"HOLT","CL26","z182ss-holtrwsppwas01.rfx.zebra.com","z182sp-holtrwsprwas01.rfx.zebra.com","Both"
"IKI","CL54","z182ss-ikirwsppwas01.rfx.zebra.com","z182sp-ikirwsprwas01.rfx.zebra.com","Both"
"INSP","CL03","z182ss-insprwsppwas01.rfx.zebra.com","z182sp-insprwsprwas01.rfx.zebra.com","Both"
"JLP","CL52","z182ss-jlprwsppwas01.rfx.zebra.com","z182sp-jlprwsprwas01.rfx.zebra.com","Both"
"JPMC","CL22","z182ss-jpmcrwsppwas01.rfx.zebra.com","z182sp-jpmcrwsprwas01.rfx.zebra.com","Both"
"KEY","CL27","z182ss-keyrwsppwas01.rfx.zebra.com","z182sp-keyrwsprwas01.rfx.zebra.com","Both"
"LTS","CL03","z182ss-ltsrwsppwas01.rfx.zebra.com","z182sp-ltsrwsprwas01.rfx.zebra.com","Both"
"LVSP","CL19","z182ss-lvsprwsppwas01.rfx.zebra.com","z182sp-lvsprwsprwas01.rfx.zebra.com","Both"
