clientId,cluster,jobName,cronExpression,serverTimezone,fireTimeUtc,fireTimeLocal,fireTimeServer,command
"HMROW","CL53","HMROW - workflow [ClockingEventJob 0 0 HNM]","*/6 * * * *","Europe/London","2026-07-17T10:48:00.000Z","2026-07-17 11:48:00","2026-07-17 11:48:00","/mount/RWS4/batch_jobs/scripts/workflow.sh ClockingEventJob 0 0 HNM >> /mount/RWS4/batch_jobs/log/ClockingEventJob.log 2"
"HMROW","CL53","HMROW - workflow [VDInterval 0 0 HNM]","*/16 * * * *","Europe/London","2026-07-17T10:48:00.000Z","2026-07-17 11:48:00","2026-07-17 11:48:00","/mount/RWS4/batch_jobs/scripts/workflow.sh VDInterval 0 0 HNM >> /mount/RWS4/batch_jobs/log/VDInterval.log 2>&1"
"HMROW","CL53","HMROW - workflow [VDPeriod 0 0 HNM]","*/16 * * * *","Europe/London","2026-07-17T10:48:00.000Z","2026-07-17 11:48:00","2026-07-17 11:48:00","/mount/RWS4/batch_jobs/scripts/workflow.sh VDPeriod 0 0 HNM >> /mount/RWS4/batch_jobs/log/VDPeriod.log 2>&1"
"MB","CL55","MB - monitor MBR NewTaUnitPayDetailGeneratorJob","*/2 * * * *","Europe/London","2026-07-17T10:48:00.000Z","2026-07-17 11:48:00","2026-07-17 11:48:00","/mount/RWS4/batch_jobs/scripts/monitor_MBR_NewTaUnitPayDetailGeneratorJob.sh >> /mount/RWS4/batch_jobs/logs/monitor_MBR_"
"VEYR","CL15","VEYR - monitor VEYR NewTaUnitPayDetailGeneratorJob","*/8 * * * *","America/New_York","2026-07-17T10:48:00.000Z","2026-07-17 06:48:00","2026-07-17 06:48:00","/mount/RWS4/batch_jobs/WAPM/scripts/monitor_VEYR_NewTaUnitPayDetailGeneratorJob.sh >> /mount/RWS4/batch_jobs/WAPM/script"
"HMROW","CL53","HMROW - sync clocking event","9,19,29,39,49,59 * * * *","Europe/London","2026-07-17T10:49:00.000Z","2026-07-17 11:49:00","2026-07-17 11:49:00","/mount/RWS4/batch_jobs/scripts/sync_clocking_event.sh >> /mount/RWS4/batch_jobs/log/sync_clocking_event.log 2>&1"
"BPANZ","CL15","BPANZ - Append Timestamp [BP]","*/5 * * * *","America/New_York","2026-07-17T10:50:00.000Z","2026-07-17 06:50:00","2026-07-17 06:50:00","/mount/RWS4/batch_jobs/scripts/Append_Timestamp.sh BP >> /mount/RWS4/batch_jobs/log/Append_Timestamp_15.log 2>&1"
"BPG","CL78","BPG - Append Timestamp [BP]","*/5 * * * *","Europe/Berlin","2026-07-17T10:50:00.000Z","2026-07-17 12:50:00","2026-07-17 12:50:00","/mount/RWS4/batch_jobs/scripts/Append_Timestamp.sh BP >/dev/null 2>&1"
"BSI","CL09","BSI - sftpOutboundRetry [BOTH]","*/25 * * * *","America/New_York","2026-07-17T10:50:00.000Z","2026-07-17 06:50:00","2026-07-17 06:50:00","/mount/RWS4/batch_jobs/scripts/sftpOutboundRetry.sh BOTH >> /mount/RWS4/batch_jobs/log/sftpOutboundRetry.sh 2>&1"
"DIX","CL52","DIX - workflow [POPULATERFCMETRICDATA 0 0 DIX]","*/10 * * * *","Europe/London","2026-07-17T10:50:00.000Z","2026-07-17 11:50:00","2026-07-17 11:50:00","/mount/RWS4/batch_jobs/scripts/workflow.sh POPULATERFCMETRICDATA 0 0 DIX >> /mount/RWS4/batch_jobs/log/POPULATERFCMETRIC"
"HMROW","CL53","HMROW - sync clocking event [HNM]","*/5 * * * *","Europe/London","2026-07-17T10:50:00.000Z","2026-07-17 11:50:00","2026-07-17 11:50:00","/mount/RWS4/batch_jobs/scripts/sync_clocking_event.sh HNM >> /mount/RWS4/batch_jobs/log/sync_clocking_event.log 2>&1"
"HOLT","CL26","HOLT - monitor HOLT NewTaUnitPayDetailGeneratorJob","*/10 * * * *","America/New_York","2026-07-17T10:50:00.000Z","2026-07-17 06:50:00","2026-07-17 06:50:00","/mount/RWS4/batch_jobs/WAPM/scripts/monitor_HOLT_NewTaUnitPayDetailGeneratorJob.sh >> /mount/RWS4/batch_jobs/WAPM/logs/m"
"INSP","CL03","INSP - customAbsencesExtracts","*/5 * * * *","America/New_York","2026-07-17T10:50:00.000Z","2026-07-17 06:50:00","2026-07-17 06:50:00","/mount/RWS4/batch_jobs/scripts/customAbsencesExtracts.sh >> /mount/RWS4/batch_jobs/log/customAbsencesExtracts.log"
"MB","CL55","MB - monitor MBR NewTaUnitPayDetailGeneratorJob","*/2 * * * *","Europe/London","2026-07-17T10:50:00.000Z","2026-07-17 11:50:00","2026-07-17 11:50:00","/mount/RWS4/batch_jobs/scripts/monitor_MBR_NewTaUnitPayDetailGeneratorJob.sh >> /mount/RWS4/batch_jobs/logs/monitor_MBR_"
"MCDDE","CL75","MCDDE - upload payfiles to sftp [MCDDE]","*/5 * * * *","Europe/Berlin","2026-07-17T10:50:00.000Z","2026-07-17 12:50:00","2026-07-17 12:50:00","/mount/RWS4/batch_jobs/scripts/upload_payfiles_to_sftp.sh MCDDE >> /mount/RWS4/batch_jobs/log/upload_payfiles_to_sftp.lo"
"MCDPL","CL51","MCDPL - encryptExtracts","*/5 * * * *","Europe/London","2026-07-17T10:50:00.000Z","2026-07-17 11:50:00","2026-07-17 11:50:00","/mount/RWS4/batch_jobs/scripts/encryptExtracts.sh >> /mount/RWS4/batch_jobs/log/encryptExtracts.log"
"MRW","CL51","MRW - sync to Sftp [MOR]","*/5 * * * *","Europe/London","2026-07-17T10:50:00.000Z","2026-07-17 11:50:00","2026-07-17 11:50:00","/mount/RWS4/batch_jobs/scripts/sync_to_Sftp.sh MOR>> /mount/RWS4/batch_jobs/scripts/sync_to_Sftp.log"
"SIG","CL17","SIG - CustomExtractsBARC","*/10 * * * *","America/New_York","2026-07-17T10:50:00.000Z","2026-07-17 06:50:00","2026-07-17 06:50:00","/mount/RWS4/batch_jobs/scripts/CustomExtractsBARC.sh >> /mount/RWS4/batch_jobs/log/CustomExtractsBARC.log"
"RLY","CL25","RLY - encryptPayfile [RLY]","*/17 * * * *","America/New_York","2026-07-17T10:51:00.000Z","2026-07-17 06:51:00","2026-07-17 06:51:00","/mount/RWS4/batch_jobs/scripts/encryptPayfile.sh RLY >> /mount/RWS4/batch_jobs/log/encryptsPayfile.log 2>&1"
"MB","CL55","MB - monitor MBR NewTaUnitPayDetailGeneratorJob","*/2 * * * *","Europe/London","2026-07-17T10:52:00.000Z","2026-07-17 11:52:00","2026-07-17 11:52:00","/mount/RWS4/batch_jobs/scripts/monitor_MBR_NewTaUnitPayDetailGeneratorJob.sh >> /mount/RWS4/batch_jobs/logs/monitor_MBR_"
"HMROW","CL53","HMROW - workflow [ClockingEventJob 0 0 HNM]","*/6 * * * *","Europe/London","2026-07-17T10:54:00.000Z","2026-07-17 11:54:00","2026-07-17 11:54:00","/mount/RWS4/batch_jobs/scripts/workflow.sh ClockingEventJob 0 0 HNM >> /mount/RWS4/batch_jobs/log/ClockingEventJob.log 2"
"MB","CL55","MB - monitor MBR NewTaUnitPayDetailGeneratorJob","*/2 * * * *","Europe/London","2026-07-17T10:54:00.000Z","2026-07-17 11:54:00","2026-07-17 11:54:00","/mount/RWS4/batch_jobs/scripts/monitor_MBR_NewTaUnitPayDetailGeneratorJob.sh >> /mount/RWS4/batch_jobs/logs/monitor_MBR_"
"AZO","CL17","AZO - CustomencryptCognosExtractWithHeaderFooter","25,55 * * * *","America/New_York","2026-07-17T10:55:00.000Z","2026-07-17 06:55:00","2026-07-17 06:55:00","/mount/RWS4/batch_jobs/scripts/CustomencryptCognosExtractWithHeaderFooter.sh >> /mount/RWS4/batch_jobs/log/CognosCustomE"
"BPANZ","CL15","BPANZ - Append Timestamp [BP]","*/5 * * * *","America/New_York","2026-07-17T10:55:00.000Z","2026-07-17 06:55:00","2026-07-17 06:55:00","/mount/RWS4/batch_jobs/scripts/Append_Timestamp.sh BP >> /mount/RWS4/batch_jobs/log/Append_Timestamp_15.log 2>&1"
"BPG","CL78","BPG - Append Timestamp [BP]","*/5 * * * *","Europe/Berlin","2026-07-17T10:55:00.000Z","2026-07-17 12:55:00","2026-07-17 12:55:00","/mount/RWS4/batch_jobs/scripts/Append_Timestamp.sh BP >/dev/null 2>&1"
"HMROW","CL53","HMROW - sync clocking event [HNM]","*/5 * * * *","Europe/London","2026-07-17T10:55:00.000Z","2026-07-17 11:55:00","2026-07-17 11:55:00","/mount/RWS4/batch_jobs/scripts/sync_clocking_event.sh HNM >> /mount/RWS4/batch_jobs/log/sync_clocking_event.log 2>&1"
"INSP","CL03","INSP - customAbsencesExtracts","*/5 * * * *","America/New_York","2026-07-17T10:55:00.000Z","2026-07-17 06:55:00","2026-07-17 06:55:00","/mount/RWS4/batch_jobs/scripts/customAbsencesExtracts.sh >> /mount/RWS4/batch_jobs/log/customAbsencesExtracts.log"
"INSP","CL03","INSP - encryptPayfile [INSP]","*/55 * * * *","America/New_York","2026-07-17T10:55:00.000Z","2026-07-17 06:55:00","2026-07-17 06:55:00","/mount/RWS4/batch_jobs/scripts/encryptPayfile.sh INSP >> /mount/RWS4/batch_jobs/log/encryptPayfile.log"
"MCDDE","CL75","MCDDE - mergeVD02 [MCDDE]","25,55 * * * *","Europe/Berlin","2026-07-17T10:55:00.000Z","2026-07-17 12:55:00","2026-07-17 12:55:00","/mount/RWS4/batch_jobs/scripts/mergeVD02.sh MCDDE >> /mount/RWS4/batch_jobs/log/mergeVD02_`date +\%Y\%m\%d`.log 2>&1"
"MCDDE","CL75","MCDDE - upload payfiles to sftp [MCDDE]","*/5 * * * *","Europe/Berlin","2026-07-17T10:55:00.000Z","2026-07-17 12:55:00","2026-07-17 12:55:00","/mount/RWS4/batch_jobs/scripts/upload_payfiles_to_sftp.sh MCDDE >> /mount/RWS4/batch_jobs/log/upload_payfiles_to_sftp.lo"
"MCDPL","CL51","MCDPL - encryptExtracts","*/5 * * * *","Europe/London","2026-07-17T10:55:00.000Z","2026-07-17 11:55:00","2026-07-17 11:55:00","/mount/RWS4/batch_jobs/scripts/encryptExtracts.sh >> /mount/RWS4/batch_jobs/log/encryptExtracts.log"
"MRW","CL51","MRW - sync to Sftp [MOR]","*/5 * * * *","Europe/London","2026-07-17T10:55:00.000Z","2026-07-17 11:55:00","2026-07-17 11:55:00","/mount/RWS4/batch_jobs/scripts/sync_to_Sftp.sh MOR>> /mount/RWS4/batch_jobs/scripts/sync_to_Sftp.log"
"MB","CL55","MB - monitor MBR NewTaUnitPayDetailGeneratorJob","*/2 * * * *","Europe/London","2026-07-17T10:56:00.000Z","2026-07-17 11:56:00","2026-07-17 11:56:00","/mount/RWS4/batch_jobs/scripts/monitor_MBR_NewTaUnitPayDetailGeneratorJob.sh >> /mount/RWS4/batch_jobs/logs/monitor_MBR_"
"VEYR","CL15","VEYR - monitor VEYR NewTaUnitPayDetailGeneratorJob","*/8 * * * *","America/New_York","2026-07-17T10:56:00.000Z","2026-07-17 06:56:00","2026-07-17 06:56:00","/mount/RWS4/batch_jobs/WAPM/scripts/monitor_VEYR_NewTaUnitPayDetailGeneratorJob.sh >> /mount/RWS4/batch_jobs/WAPM/script"
"MB","CL55","MB - monitor MBR NewTaUnitPayDetailGeneratorJob","*/2 * * * *","Europe/London","2026-07-17T10:58:00.000Z","2026-07-17 11:58:00","2026-07-17 11:58:00","/mount/RWS4/batch_jobs/scripts/monitor_MBR_NewTaUnitPayDetailGeneratorJob.sh >> /mount/RWS4/batch_jobs/logs/monitor_MBR_"
"BAS","CL25","BAS - download [BAS]","59 00,*/1 * * *","America/New_York","2026-07-17T10:59:00.000Z","2026-07-17 06:59:00","2026-07-17 06:59:00","/mount/RWS4/batch_jobs/scripts/download.sh BAS >> /mount/RWS4/batch_jobs/log/dataimports.log 2>&1"
"HMROW","CL53","HMROW - sync clocking event","9,19,29,39,49,59 * * * *","Europe/London","2026-07-17T10:59:00.000Z","2026-07-17 11:59:00","2026-07-17 11:59:00","/mount/RWS4/batch_jobs/scripts/sync_clocking_event.sh >> /mount/RWS4/batch_jobs/log/sync_clocking_event.log 2>&1"
"AAP","CL12","AAP - download","*/30 * * * *","America/New_York","2026-07-17T11:00:00.000Z","2026-07-17 07:00:00","2026-07-17 07:00:00","/mount/RWS4/batch_jobs/scripts/download.sh >> /mount/RWS4/batch_jobs/log/dataimports.log"
"AZMX","CL26","AZMX - Monitoring RWS Processes [IN_FOLDER_CHECK]","0 */1 * * *","America/New_York","2026-07-17T11:00:00.000Z","2026-07-17 07:00:00","2026-07-17 07:00:00","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh IN_FOLDER_CHECK >> /mount/RWS4/batch_jobs/WAPM/logs/IN_F"
"AZMX","CL26","AZMX - download [AZMX]","*/30 * * * *","America/New_York","2026-07-17T11:00:00.000Z","2026-07-17 07:00:00","2026-07-17 07:00:00","/mount/RWS4/batch_jobs/scripts/download.sh AZMX >> /mount/RWS4/batch_jobs/log/dataimports.log 2>&1"
"AZO","CL17","AZO - InternalImportsCognosExtract (00 07 * * *)","00 07 * * *","America/New_York","2026-07-17T11:00:00.000Z","2026-07-17 07:00:00","2026-07-17 07:00:00","/mount/RWS4/batch_jobs/scripts/InternalImportsCognosExtract.sh 2>&1"
"BAS","CL25","BAS - encryptPayfile [BAS]","0 */1 * * *","America/New_York","2026-07-17T11:00:00.000Z","2026-07-17 07:00:00","2026-07-17 07:00:00","/mount/RWS4/batch_jobs/scripts/encryptPayfile.sh BAS >> /mount/RWS4/batch_jobs/log/encryptsPayfile.log 2>&1"
"BCF","CL25","BCF - download [BCF]","0 */1 * * *","America/New_York","2026-07-17T11:00:00.000Z","2026-07-17 07:00:00","2026-07-17 07:00:00","/mount/RWS4/batch_jobs/scripts/download.sh BCF >> /mount/RWS4/batch_jobs/log/dataimports.log  2>&1"
"BCF","CL25","BCF - workflow [UpdateRfcCalculatedMetrics 76 BCF] (*/30 * * * *)","*/30 * * * *","America/New_York","2026-07-17T11:00:00.000Z","2026-07-17 07:00:00","2026-07-17 07:00:00","/mount/RWS4/batch_jobs/scripts/workflow.sh UpdateRfcCalculatedMetrics -1 76 BCF >> /mount/RWS4/batch_jobs/log/Update_Cal"
"BCOP","CL19","BCOP - download","*/30 * * * *","America/New_York","2026-07-17T11:00:00.000Z","2026-07-17 07:00:00","2026-07-17 07:00:00","/mount/RWS4/batch_jobs/scripts/download.sh >> /mount/RWS4/batch_jobs/log/dataimports.log"
"BLK","CL12","BLK - Monitoring RWS Processes [UNRESOLVED_PUNCH_MONITORING]","*/30 * * * *","America/New_York","2026-07-17T11:00:00.000Z","2026-07-17 07:00:00","2026-07-17 07:00:00","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh UNRESOLVED_PUNCH_MONITORING"
"BNQ","CL52","BNQ - download","*/15 * * * *","Europe/London","2026-07-17T11:00:00.000Z","2026-07-17 12:00:00","2026-07-17 12:00:00","/mount/RWS4/batch_jobs/scripts/download.sh >> /mount/RWS4/batch_jobs/log/dataimports.log"
"BNQ","CL52","BNQ - sync clocking event","*/15 * * * *","Europe/London","2026-07-17T11:00:00.000Z","2026-07-17 12:00:00","2026-07-17 12:00:00","/mount/RWS4/batch_jobs/scripts/sync_clocking_event.sh >> /mount/RWS4/batch_jobs/log/sync_clocking_event.log 2>&1"
"BPANZ","CL15","BPANZ - Append Timestamp [BP]","*/5 * * * *","America/New_York","2026-07-17T11:00:00.000Z","2026-07-17 07:00:00","2026-07-17 07:00:00","/mount/RWS4/batch_jobs/scripts/Append_Timestamp.sh BP >> /mount/RWS4/batch_jobs/log/Append_Timestamp_15.log 2>&1"
"BPANZ","CL15","BPANZ - Copy AU DailyAbsenceReporttoSFTP [BP]","*/30 * * * *","America/New_York","2026-07-17T11:00:00.000Z","2026-07-17 07:00:00","2026-07-17 07:00:00","/mount/RWS4/batch_jobs/scripts/Copy_AU_DailyAbsenceReporttoSFTP.sh BP > /mount/RWS4/batch_jobs/log/Copy_AU_DailyAbsenceR"
