clientId,cluster,jobName,cronExpression,serverTimezone,firesInWindowIst,fireTimeServer,fireTimeUtc,willRetryToday,command
"ODP41","CL15","ODP41 - MonitorHRCI","30 02 * * *","America/New_York","2026-07-24 12:00:00","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","No","/mount/RWS4/batch_jobs/scripts/MonitorHRCI.sh > /dev/null 2>&1"
"AZO","CL17","AZO - Monitoring RWS Processes [EXTRACTS_CHECK COSTSEGMENT Y]","40 02 * * *","America/New_York","2026-07-24 12:10:00","2026-07-24 02:40:00","2026-07-24T06:40:00.000Z","No","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh EXTRACTS_CHECK COSTSEGMENT Y"
"AZO","CL17","AZO - Monitoring RWS Processes [EXTRACTS_CHECK AVLREQ Y]","00 03 * * *","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh EXTRACTS_CHECK AVLREQ Y"
"AZO","CL17","AZO - Monitoring RWS Processes [EXTRACTS_CHECK EMPDET Y]","00 03 * * *","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh EXTRACTS_CHECK EMPDET Y"
"AZO","CL17","AZO - Monitoring RWS Processes [EXTRACTS_CHECK EMPSFTDET Y]","00 03 * * *","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh EXTRACTS_CHECK EMPSFTDET Y"
"AZO","CL17","AZO - Monitoring RWS Processes [EXTRACTS_CHECK MGRTMPL Y]","00 03 * * *","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh EXTRACTS_CHECK MGRTMPL Y"
"AZO","CL17","AZO - Monitoring RWS Processes [EXTRACTS_CHECK SCHALRT Y]","00 03 * * *","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh EXTRACTS_CHECK SCHALRT Y"
"AZO","CL17","AZO - Monitoring RWS Processes [EXTRACTS_CHECK SFTACTDET Y]","00 03 * * *","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh EXTRACTS_CHECK SFTACTDET Y"
"BCOP","CL19","BCOP - cleanup","0 3 * * *","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/scripts/cleanup.sh >> /mount/RWS4/batch_jobs/log/cleanup.log 2>&1"
"BLK","CL12","BLK - cleanup [BELK]","0 3 * * *","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/scripts/cleanup.sh BELK >> /mount/RWS4/batch_jobs/log/cleanup.log 2>&1"
"BOB","CL17","BOB - cleanup [BOB]","0 3 * * *","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/scripts/cleanup.sh BOB >> /mount/RWS4/batch_jobs/log/cleanup.log 2>&1"
"BSI","CL09","BSI - cleanup","0 3 * * *","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/scripts/cleanup.sh >> /mount/RWS4/batch_jobs/log/cleanup.log 2>&1"
"COP","CL12","COP - cleanup","0 3 * * *","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/scripts/cleanup.sh >> /mount/RWS4/batch_jobs/log/cleanup.log 2>&1"
"DST","CL09","DST - cleanup","0 3 * * *","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/scripts/cleanup.sh >> /mount/RWS4/batch_jobs/log/cleanup.log 2>&1"
"INSP","CL03","INSP - workflow [publish 3]","0 3 * * 5","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/scripts/workflow.sh publish 3 >> /mount/RWS4/batch_jobs/log/publish.log 2>&1"
"ODP41","CL15","ODP41 - cleanup (0 3 * * *)","0 3 * * *","America/New_York","2026-07-24 12:30:00","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","No","/mount/RWS4/batch_jobs/scripts/cleanup.sh >> /mount/RWS4/batch_jobs/log/cleanup.log 2>&1"
