clientId,cluster,jobName,cronExpression,serverTimezone,fireTimeServer,fireTimeUtc,fireTimeIst,command
"AAP","CL12","AAP - download","*/30 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/download.sh >> /mount/RWS4/batch_jobs/log/dataimports.log"
"AZMX","CL26","AZMX - download [AZMX]","*/30 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/download.sh AZMX >> /mount/RWS4/batch_jobs/log/dataimports.log 2>&1"
"BCF","CL25","BCF - workflow [UpdateRfcCalculatedMetrics 76 BCF] (*/30 * * * *)","*/30 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/workflow.sh UpdateRfcCalculatedMetrics -1 76 BCF >> /mount/RWS4/batch"
"BCOP","CL19","BCOP - download","*/30 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/download.sh >> /mount/RWS4/batch_jobs/log/dataimports.log"
"BLK","CL12","BLK - Monitoring RWS Processes [UNRESOLVED_PUNCH_MONITORING]","*/30 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh UNRESOLVED_PUNCH_MONITORING"
"BNQ","CL52","BNQ - download","*/15 * * * *","Europe/London","2026-07-24 07:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/download.sh >> /mount/RWS4/batch_jobs/log/dataimports.log"
"BNQ","CL52","BNQ - sync clocking event","*/15 * * * *","Europe/London","2026-07-24 07:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/sync_clocking_event.sh >> /mount/RWS4/batch_jobs/log/sync_clocking_ev"
"BOB","CL17","BOB - download [BOB]","30 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/download.sh BOB >> /mount/RWS4/batch_jobs/log/dataimports.log 2>&1"
"BPANZ","CL15","BPANZ - Append Timestamp [BP]","*/5 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/Append_Timestamp.sh BP >> /mount/RWS4/batch_jobs/log/Append_Timestamp"
"BPANZ","CL15","BPANZ - Copy AU DailyAbsenceReporttoSFTP [BP]","*/30 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/Copy_AU_DailyAbsenceReporttoSFTP.sh BP > /mount/RWS4/batch_jobs/log/C"
"BPANZ","CL15","BPANZ - CopyCognosReporttoPayrollfolderNZ [BP]","*/30 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/CopyCognosReporttoPayrollfolderNZ.sh BP >> /mount/RWS4/batch_jobs/log"
"BPG","CL78","BPG - Append Timestamp [BP]","*/5 * * * *","Europe/Berlin","2026-07-24 08:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/Append_Timestamp.sh BP >/dev/null 2>&1"
"COP","CL12","COP - download","*/30 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/download.sh >> /mount/RWS4/batch_jobs/log/dataimports.log"
"DIX","CL52","DIX - encryptExtracts [DIX]","*/15 * * * *","Europe/London","2026-07-24 07:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/encryptExtracts.sh DIX >> /mount/RWS4/batch_jobs/log/encryptExtracts."
"DIX","CL52","DIX - workflow [POPULATERFCMETRICDATA 0 0 DIX]","*/10 * * * *","Europe/London","2026-07-24 07:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/workflow.sh POPULATERFCMETRICDATA 0 0 DIX >> /mount/RWS4/batch_jobs/l"
"EYE","CL23","EYE - GrossEarningExtracts","*/30 * * * *","America/New_York","2026-07-24 02:30:00","2026-07-24T06:30:00.000Z","2026-07-24 12:00:00","/mount/RWS4/batch_jobs/scripts/GrossEarningExtracts.sh >> /mount/RWS4/batch_jobs/log/GrossEarningExt"
